runID,mode,seedUsed,measuring,simT,machine,down,availability,opT,proc,ict,performance,quality,oee
800646,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
800646,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,64,8.000000,0.747445,1.000000,0.731429
800646,FLOW,1,1,700.000000,M3,10.000000,0.985714,690.000000,50,10.000000,0.724638,1.000000,0.714286
800646,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,51,6.500000,0.473571,1.000000,0.473571
800646,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,36,9.000000,0.480000,1.000000,0.462857
800646,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,13,5.000000,0.092857,1.000000,0.092857
801483,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
801483,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,66,8.000000,0.770803,1.000000,0.754286
801483,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,65,10.000000,0.955882,1.000000,0.928571
801483,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,69,6.500000,0.640714,1.000000,0.640714
801483,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,49,9.000000,0.653333,1.000000,0.630000
801483,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,17,5.000000,0.121429,1.000000,0.121429
802240,FLOW,1,1,700.000000,M1,203.821807,0.708826,496.178193,1399,7.500000,1.000000,1.000000,0.708826
802240,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,65,8.000000,0.759124,1.000000,0.742857
802240,FLOW,1,1,700.000000,M3,10.000000,0.985714,690.000000,50,10.000000,0.724638,1.000000,0.714286
802240,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,52,6.500000,0.482857,1.000000,0.482857
802240,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,35,9.000000,0.466667,1.000000,0.450000
802240,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,14,5.000000,0.100000,1.000000,0.100000
803030,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
803030,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,69,8.000000,0.805839,1.000000,0.788571
803030,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,57,10.000000,0.838235,1.000000,0.814286
803030,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,57,6.500000,0.529286,1.000000,0.529286
803030,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,33,9.000000,0.440000,1.000000,0.424286
803030,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,22,5.000000,0.157143,1.000000,0.157143
803822,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
803822,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,62,8.000000,0.724088,1.000000,0.708571
803822,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,70,10.000000,1.000000,1.000000,0.971429
803822,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,71,6.500000,0.659286,1.000000,0.659286
803822,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,51,9.000000,0.680000,1.000000,0.655714
803822,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,16,5.000000,0.114286,1.000000,0.114286
804600,FLOW,1,1,700.000000,M1,309.271282,0.558184,390.728718,1378,7.500000,1.000000,1.000000,0.558184
804600,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,66,8.000000,0.770803,1.000000,0.754286
804600,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,54,10.000000,0.794118,1.000000,0.771429
804600,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,55,6.500000,0.510714,1.000000,0.510714
804600,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,42,9.000000,0.560000,1.000000,0.540000
804600,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,14,5.000000,0.100000,1.000000,0.100000
805415,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
805415,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,69,8.000000,0.805839,1.000000,0.788571
805415,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
805415,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,69,6.500000,0.640714,1.000000,0.640714
805415,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,53,9.000000,0.706667,1.000000,0.681429
805415,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,12,5.000000,0.085714,1.000000,0.085714
806193,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
806193,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,61,8.000000,0.712409,1.000000,0.697143
806193,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
806193,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
806193,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,50,9.000000,0.666667,1.000000,0.642857
806193,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,17,5.000000,0.121429,1.000000,0.121429
807114,FLOW,1,1,700.000000,M1,194.098983,0.722716,505.901017,1399,7.500000,1.000000,1.000000,0.722716
807114,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,67,8.000000,0.782482,1.000000,0.765714
807114,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
807114,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
807114,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,50,9.000000,0.666667,1.000000,0.642857
807114,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,18,5.000000,0.128571,1.000000,0.128571
807909,FLOW,1,1,700.000000,M1,168.781845,0.758883,531.218155,1396,7.500000,1.000000,1.000000,0.758883
807909,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,64,8.000000,0.747445,1.000000,0.731429
807909,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,64,10.000000,0.941176,1.000000,0.914286
807909,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,65,6.500000,0.603571,1.000000,0.603571
807909,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,45,9.000000,0.600000,1.000000,0.578571
807909,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,18,5.000000,0.128571,1.000000,0.128571
808691,FLOW,1,1,700.000000,M1,394.117409,0.436975,305.882591,1399,7.500000,1.000000,1.000000,0.436975
808691,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,63,8.000000,0.735766,1.000000,0.720000
808691,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,69,10.000000,1.000000,1.000000,0.971429
808691,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
808691,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,45,9.000000,0.600000,1.000000,0.578571
808691,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,23,5.000000,0.164286,1.000000,0.164286
809496,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
809496,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,60,8.000000,0.700730,1.000000,0.685714
809496,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,57,10.000000,0.838235,1.000000,0.814286
809496,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,59,6.500000,0.547857,1.000000,0.547857
809496,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,46,9.000000,0.613333,1.000000,0.591429
809496,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,13,5.000000,0.092857,1.000000,0.092857
810314,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
810314,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,68,8.000000,0.794161,1.000000,0.777143
810314,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,67,10.000000,0.985294,1.000000,0.957143
810314,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,67,6.500000,0.622143,1.000000,0.622143
810314,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,54,9.000000,0.720000,1.000000,0.694286
810314,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,10,5.000000,0.071429,1.000000,0.071429
811127,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
811127,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,69,8.000000,0.805839,1.000000,0.788571
811127,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,69,10.000000,1.000000,1.000000,0.971429
811127,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,69,6.500000,0.640714,1.000000,0.640714
811127,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,43,9.000000,0.573333,1.000000,0.552857
811127,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,23,5.000000,0.164286,1.000000,0.164286
811910,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
811910,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,69,8.000000,0.805839,1.000000,0.788571
811910,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,60,10.000000,0.882353,1.000000,0.857143
811910,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,60,6.500000,0.557143,1.000000,0.557143
811910,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,49,9.000000,0.653333,1.000000,0.630000
811910,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,11,5.000000,0.078571,1.000000,0.078571
812624,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
812624,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,65,8.000000,0.759124,1.000000,0.742857
812624,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,68,10.000000,1.000000,1.000000,0.971429
812624,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,68,6.500000,0.631429,1.000000,0.631429
812624,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,46,9.000000,0.613333,1.000000,0.591429
812624,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,18,5.000000,0.128571,1.000000,0.128571
813383,FLOW,1,1,700.000000,M1,180.000000,0.742857,520.000000,1400,7.500000,1.000000,1.000000,0.742857
813383,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,65,8.000000,0.759124,1.000000,0.742857
813383,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,55,10.000000,0.808824,1.000000,0.785714
813383,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,57,6.500000,0.529286,1.000000,0.529286
813383,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,37,9.000000,0.493333,1.000000,0.475714
813383,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,14,5.000000,0.100000,1.000000,0.100000
814133,FLOW,1,1,700.000000,M1,160.000000,0.771429,540.000000,1371,7.500000,1.000000,1.000000,0.771429
814133,FLOW,1,1,700.000000,M2,15.000000,0.978571,685.000000,67,8.000000,0.782482,1.000000,0.765714
814133,FLOW,1,1,700.000000,M3,20.000000,0.971429,680.000000,65,10.000000,0.955882,1.000000,0.928571
814133,FLOW,1,1,700.000000,M4,0.000000,1.000000,700.000000,66,6.500000,0.612857,1.000000,0.612857
814133,FLOW,1,1,700.000000,M5,25.000000,0.964286,675.000000,41,9.000000,0.546667,1.000000,0.527143
814133,FLOW,1,1,700.000000,J1,0.000000,1.000000,700.000000,22,5.000000,0.157143,1.000000,0.157143
