scenario,iter,profit,produced,good,th_per_hr,epp,J
S2_profit_plus_good,110,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,111,3161.1049,46,46,3.942857,2.238898,3851.104877
S2_profit_plus_good,112,2614.1411,38,38,3.257143,2.331472,3184.141089
S2_profit_plus_good,113,3048.3845,44,44,3.771429,2.163292,3708.384482
S2_profit_plus_good,114,3176.8012,46,46,3.942857,2.230457,3866.801151
S2_profit_plus_good,115,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,116,2337.4584,34,34,2.914286,2.258148,2847.458403
S2_profit_plus_good,117,3310.3873,48,48,4.114286,2.094401,4030.387279
S2_profit_plus_good,118,3440.6286,50,50,4.285714,2.343341,4190.628571
S2_profit_plus_good,119,3513.6321,51,51,4.371429,2.224373,4278.632081
S2_profit_plus_good,120,3098.9361,45,45,3.857143,2.337723,3773.936087
S2_profit_plus_good,121,2974.1616,43,43,3.685714,2.232968,3619.161636
S2_profit_plus_good,122,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,123,1858.7815,27,27,2.314286,2.363840,2263.781500
S2_profit_plus_good,124,3252.4642,47,47,4.028571,2.205676,3957.464180
S2_profit_plus_good,125,3713.0005,54,54,4.628571,2.207446,4523.000525
S2_profit_plus_good,126,3176.8012,46,46,3.942857,2.230457,3866.801151
S2_profit_plus_good,127,2563.3261,37,37,3.171429,2.330654,3118.326114
S2_profit_plus_good,128,3109.3060,45,45,3.857143,2.243971,3784.306048
S2_profit_plus_good,129,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,130,2428.8281,35,35,3.000000,2.419642,2953.828132
S2_profit_plus_good,131,2816.6578,41,41,3.514286,2.418728,3431.657847
S2_profit_plus_good,132,3369.0868,49,49,4.200000,2.228262,4104.086807
S2_profit_plus_good,133,3039.0771,44,44,3.771429,2.226167,3699.077148
S2_profit_plus_good,134,3713.0005,54,54,4.628571,2.207446,4523.000525
S2_profit_plus_good,135,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,136,2967.4392,43,43,3.685714,2.311291,3612.439172
S2_profit_plus_good,137,2755.4404,40,40,3.428571,2.406027,3355.440388
S2_profit_plus_good,138,3508.8224,51,51,4.371429,2.259839,4273.822420
S2_profit_plus_good,139,3167.0393,46,46,3.942857,2.222364,3857.039288
S2_profit_plus_good,140,2892.2675,42,42,3.600000,2.209400,3522.267541
S2_profit_plus_good,141,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,142,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,143,2960.9158,43,43,3.685714,2.119231,3605.915830
S2_profit_plus_good,144,3017.1816,44,44,3.771429,2.296601,3677.181648
S2_profit_plus_good,145,2819.6510,41,41,3.514286,2.231279,3434.651016
S2_profit_plus_good,146,2818.0077,41,41,3.514286,2.234634,3433.007746
S2_profit_plus_good,147,2885.0693,42,42,3.600000,2.273244,3515.069295
S2_profit_plus_good,148,3636.8751,53,53,4.542857,2.256512,4431.875092
S2_profit_plus_good,149,2885.7458,42,42,3.600000,2.337411,3515.745762
S2_profit_plus_good,150,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,151,3164.6625,46,46,3.942857,2.232137,3854.662487
S2_profit_plus_good,152,3023.4538,44,44,3.771429,2.312788,3683.453797
S2_profit_plus_good,153,2480.6968,36,36,3.085714,2.224604,3020.696815
S2_profit_plus_good,154,3306.7800,48,48,4.114286,2.157690,4026.779969
S2_profit_plus_good,155,3170.0913,46,46,3.942857,2.156316,3860.091257
S2_profit_plus_good,156,2956.7774,43,43,3.685714,2.277563,3601.777443
S2_profit_plus_good,157,3030.0267,44,44,3.771429,2.245964,3690.026704
S2_profit_plus_good,158,3168.7196,46,46,3.942857,2.438334,3858.719619
S2_profit_plus_good,159,3513.6321,51,51,4.371429,2.224373,4278.632081
S2_profit_plus_good,160,3305.1959,48,48,4.114286,2.235736,4025.195932
S2_profit_plus_good,161,2818.0077,41,41,3.514286,2.234634,3433.007746
S2_profit_plus_good,162,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,163,3170.2659,46,46,3.942857,2.323532,3860.265860
S2_profit_plus_good,164,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,165,3167.0393,46,46,3.942857,2.222364,3857.039288
S2_profit_plus_good,166,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,167,3309.4743,48,48,4.114286,2.292581,4029.474345
S2_profit_plus_good,168,2953.5295,43,43,3.685714,2.422373,3598.529505
S2_profit_plus_good,169,2819.6510,41,41,3.514286,2.231279,3434.651016
S2_profit_plus_good,170,3444.7276,50,50,4.285714,2.129561,4194.727616
S2_profit_plus_good,171,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,172,3642.6607,53,53,4.542857,2.288959,4437.660735
S2_profit_plus_good,173,2896.4429,42,42,3.600000,2.231718,3526.442885
S2_profit_plus_good,174,2614.1411,38,38,3.257143,2.331472,3184.141089
S2_profit_plus_good,175,2322.9486,34,34,2.914286,2.191667,2832.948613
S2_profit_plus_good,176,3230.8474,47,47,4.028571,2.243423,3935.847387
S2_profit_plus_good,177,2958.5458,43,43,3.685714,2.306651,3603.545757
S2_profit_plus_good,178,2967.4392,43,43,3.685714,2.311291,3612.439172
S2_profit_plus_good,179,2746.8946,40,40,3.428571,2.547780,3346.894620
S2_profit_plus_good,180,3039.0771,44,44,3.771429,2.226167,3699.077148
S2_profit_plus_good,181,3444.7276,50,50,4.285714,2.129561,4194.727616
S2_profit_plus_good,182,2885.0693,42,42,3.600000,2.273244,3515.069295
S2_profit_plus_good,183,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,184,3168.7196,46,46,3.942857,2.438334,3858.719619
S2_profit_plus_good,185,3309.2524,48,48,4.114286,2.217072,4029.252438
S2_profit_plus_good,186,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,187,3037.7530,44,44,3.771429,2.224168,3697.752977
S2_profit_plus_good,188,2956.3327,43,43,3.685714,2.292500,3601.332711
S2_profit_plus_good,189,2956.3327,43,43,3.685714,2.292500,3601.332711
S2_profit_plus_good,190,3112.9663,45,45,3.857143,2.238335,3787.966294
S2_profit_plus_good,191,3309.4743,48,48,4.114286,2.292581,4029.474345
S2_profit_plus_good,192,3363.2526,49,49,4.200000,2.239586,4098.252640
S2_profit_plus_good,193,3028.2144,44,44,3.771429,2.388969,3688.214419
S2_profit_plus_good,194,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,195,3439.3953,50,50,4.285714,2.182244,4189.395273
S2_profit_plus_good,196,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,197,3439.3953,50,50,4.285714,2.182244,4189.395273
S2_profit_plus_good,198,2689.8694,39,39,3.342857,2.404944,3274.869431
S2_profit_plus_good,199,2600.5490,38,38,3.257143,2.241892,3170.548991
S2_profit_plus_good,200,2751.2277,40,40,3.428571,2.333792,3351.227653
S2_profit_plus_good,201,2751.2277,40,40,3.428571,2.333792,3351.227653
S2_profit_plus_good,202,3021.6518,44,44,3.771429,2.227897,3681.651843
S2_profit_plus_good,203,3312.5481,48,48,4.114286,2.222481,4032.548114
S2_profit_plus_good,204,2953.5295,43,43,3.685714,2.422373,3598.529505
S2_profit_plus_good,205,3048.3845,44,44,3.771429,2.163292,3708.384482
S2_profit_plus_good,206,3096.1744,45,45,3.857143,2.258638,3771.174426
S2_profit_plus_good,207,3159.3043,46,46,3.942857,2.192594,3849.304289
S2_profit_plus_good,208,3512.0888,51,51,4.371429,2.225443,4277.088756
S2_profit_plus_good,209,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,210,3159.3043,46,46,3.942857,2.192594,3849.304289
S2_profit_plus_good,211,3312.5481,48,48,4.114286,2.222481,4032.548114
S2_profit_plus_good,212,2974.1616,43,43,3.685714,2.232968,3619.161636
S2_profit_plus_good,213,2969.5238,43,43,3.685714,2.248528,3614.523783
S2_profit_plus_good,214,3854.7000,56,56,4.800000,2.177419,4694.699951
S2_profit_plus_good,215,3098.9361,45,45,3.857143,2.337723,3773.936087
S2_profit_plus_good,216,2614.1411,38,38,3.257143,2.331472,3184.141089
S2_profit_plus_good,217,3452.5635,50,50,4.285714,2.183613,4202.563541
S2_profit_plus_good,218,3175.2328,46,46,3.942857,2.307332,3865.232836
