scenario,iter,profit,produced,good,th_per_hr,epp,J
S6_weighted,308,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,309,2892.2675,42,42,3.600000,2.209400,1500.987462
S6_weighted,310,2951.5160,43,43,3.685714,2.304469,1476.152693
S6_weighted,311,3309.2524,48,48,4.114286,2.217072,2088.765892
S6_weighted,312,2819.6510,41,41,3.514286,2.231279,1372.116770
S6_weighted,313,2818.0077,41,41,3.514286,2.234634,1366.447402
S6_weighted,314,2974.1616,43,43,3.685714,2.232968,1584.599604
S6_weighted,315,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,316,3240.2756,47,47,4.028571,2.297662,1893.081672
S6_weighted,317,2956.3327,43,43,3.685714,2.292500,1495.332140
S6_weighted,318,3309.2524,48,48,4.114286,2.217072,2088.765892
S6_weighted,319,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,320,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,321,2818.0077,41,41,3.514286,2.234634,1366.447402
S6_weighted,322,3854.7000,56,56,4.800000,2.177419,2921.797561
S6_weighted,323,3172.5711,46,46,3.942857,2.251951,1850.229852
S6_weighted,324,3295.4727,48,48,4.114286,2.425484,1824.892284
S6_weighted,325,3036.2026,44,44,3.771429,2.101252,1834.700134
S6_weighted,326,2550.2881,37,37,3.171429,2.259712,948.633983
S6_weighted,327,3252.4642,47,47,4.028571,2.205676,2015.653206
