scenario,iter,profit,produced,good,th_per_hr,epp,J
S1_profit,148,1872.8828,27,27,4.050000,2.535880,1872.882807
S1_profit,149,1250.0309,18,18,2.700000,2.215356,1250.030896
S1_profit,150,2360.4085,34,34,5.100000,2.304888,2360.408453
S1_profit,151,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,152,1875.8690,27,27,4.050000,2.093485,1875.868975
S1_profit,153,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,154,2013.2950,29,29,4.350000,2.304140,2013.294984
S1_profit,155,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,156,2291.3331,33,33,4.950000,2.262657,2291.333081
S1_profit,157,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,158,2082.9095,30,30,4.500000,2.278729,2082.909534
S1_profit,159,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,160,2012.6439,29,29,4.350000,2.393939,2012.643945
S1_profit,161,1803.8106,26,26,3.900000,2.490679,1803.810585
S1_profit,162,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,163,1873.5670,27,27,4.050000,2.434523,1873.566970
S1_profit,164,2083.3107,30,30,4.500000,2.225234,2083.310743
S1_profit,165,1735.8351,25,25,3.750000,2.266379,1735.835131
S1_profit,166,1389.0522,20,20,3.000000,2.189552,1389.052239
S1_profit,167,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,168,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,169,1250.0309,18,18,2.700000,2.215356,1250.030896
S1_profit,170,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,171,2290.3956,33,33,4.950000,2.376285,2290.395649
S1_profit,172,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,173,1874.2046,27,27,4.050000,2.340055,1874.204630
S1_profit,174,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,175,2012.8448,29,29,4.350000,2.366239,2012.844765
S1_profit,176,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,177,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,178,2291.3331,33,33,4.950000,2.262657,2291.333081
S1_profit,179,2360.4085,34,34,5.100000,2.304888,2360.408453
S1_profit,180,2290.9975,33,33,4.950000,2.303329,2290.997540
S1_profit,181,1735.8351,25,25,3.750000,2.266379,1735.835131
S1_profit,182,2290.2760,33,33,4.950000,2.390791,2290.275971
S1_profit,183,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,184,2499.7396,36,36,5.400000,2.251156,2499.739598
