scenario,iter,profit,produced,good,shortfall,th_per_hr,epp,cpp,oeeM3,J
S3_profit_targetPenalty,86,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,87,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,88,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,89,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,90,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,91,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,92,1459.5063,21,21,49,3.150000,1.998800,0.599640,0.525000,234.506297
S3_profit_targetPenalty,93,2013.0996,29,29,41,4.350000,2.331083,0.699325,0.725000,988.099649
S3_profit_targetPenalty,94,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,95,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,96,2154.2990,31,31,39,4.650000,2.025936,0.607781,0.775000,1179.298996
S3_profit_targetPenalty,97,2015.3452,29,29,41,4.350000,2.021354,0.606406,0.725000,990.345180
S3_profit_targetPenalty,98,1806.4488,26,26,44,3.900000,2.084807,0.625442,0.650000,706.448753
S3_profit_targetPenalty,99,1736.7098,25,25,45,3.750000,2.126436,0.637931,0.625000,611.709776
S3_profit_targetPenalty,100,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,101,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,102,1736.0806,25,25,45,3.750000,2.227097,0.668129,0.625000,611.080641
S3_profit_targetPenalty,103,1179.3339,17,17,53,2.550000,2.509671,0.752901,0.425000,-145.666103
S3_profit_targetPenalty,104,2084.4779,30,30,40,4.500000,2.069611,0.620883,0.750000,1084.477915
S3_profit_targetPenalty,105,2084.7426,30,30,40,4.500000,2.034315,0.610295,0.750000,1084.742636
S3_profit_targetPenalty,106,763.4303,11,11,59,1.650000,2.388997,0.716699,0.275000,-711.569743
S3_profit_targetPenalty,107,1873.9912,27,27,43,4.050000,2.371669,0.711501,0.675000,798.991234
S3_profit_targetPenalty,108,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,109,2154.2990,31,31,39,4.650000,2.025936,0.607781,0.775000,1179.298996
S3_profit_targetPenalty,110,1596.6097,23,23,47,3.450000,2.328747,0.698624,0.575000,421.609704
S3_profit_targetPenalty,111,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,112,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,113,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,114,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,115,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,116,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,117,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,118,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,119,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,120,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,121,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,122,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,123,1666.5501,24,24,46,3.600000,2.241653,0.672496,0.600000,516.550085
S3_profit_targetPenalty,124,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,125,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,126,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,127,2154.2990,31,31,39,4.650000,2.025936,0.607781,0.775000,1179.298996
S3_profit_targetPenalty,128,1735.7233,25,25,45,3.750000,2.284273,0.685282,0.625000,610.723293
S3_profit_targetPenalty,129,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,130,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,131,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
S3_profit_targetPenalty,132,2154.3040,31,31,39,4.650000,2.025285,0.607586,0.775000,1179.304040
